M,N,K,in_dtype,out_dtype,bias,scale_A_type,scale_B_type,B_preshuffled,cu_num,best_solution_idx,best_time_ms,err_ratio,tflops,bw_gb_s
224,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,142258,0.0231,0,10.167,127.3
288,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271246,0.0239,0,227.77,500.47
288,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143859,0.0222,0,122.269,560.53
240,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269336,0.0227,0,199.608,507.9
288,1152,288,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145084,0.0227,0,8.4,65.63
256,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,270788,0.0228,0,211.534,510.7
240,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144910,0.0219,0,11.474,140.25
240,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141820,0.0235,0,108.294,568.73
320,2304,4096,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269340,0.0231,0,261.165,528.51
320,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141072,0.0227,0,14.813,165.64
256,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141213,0.0216,0,12.406,148.41
256,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,269806,0.0235,0,182.726,468.42
288,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,145052,0.0221,0,13.643,157.29
288,864,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,139811,0.0227,0,25.27,138.92
256,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,144389,0.0225,0,120.552,601.71
352,128,4096,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141220,0.0224,0,16.511,179.93
352,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,143867,0.0232,0,161.358,633.49
320,4096,1152,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,140615,0.023,0,131.448,556.97
288,1152,4608,torch.bfloat16,torch.bfloat16,False,no_scale,no_scale,True,304,141218,0.0223,0,136.948,624.11
288,4096,2048,torch.float8_e4m3fnuz,torch.bfloat16,False,rowwise,rowwise,True,304,271231,0.0237,0,203.675,477.92
